epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,395.054,1.34373,0.8543,0.00721,0.87363,0.85788,0.9114,0.62421,1.19388,0.66701,0.01145,0.00034704,0.00034704,0.00034704
80,399.888,1.357,0.91769,0.00777,0.91378,0.85631,0.93211,0.63081,1.19911,0.60234,0.01162,0.000337955,0.000337955,0.000337955
81,407.1,1.38165,0.9018,0.00753,0.90504,0.88306,0.94202,0.62691,1.23287,0.54768,0.01197,0.000328912,0.000328912,0.000328912
82,411.707,1.37744,0.92202,0.00756,0.85644,0.92612,0.95174,0.63787,1.25262,0.52695,0.01197,0.000319915,0.000319915,0.000319915
83,416.453,1.33325,0.86981,0.00752,0.86461,0.90069,0.93668,0.63197,1.2241,0.57827,0.01165,0.000310969,0.000310969,0.000310969
84,421.176,1.37917,0.9152,0.00727,0.85542,0.89189,0.93187,0.62367,1.21564,0.60018,0.01158,0.000302078,0.000302078,0.000302078
85,425.969,1.35951,0.87651,0.00693,0.8703,0.88079,0.94049,0.61513,1.26425,0.58085,0.0123,0.000293246,0.000293246,0.000293246
86,430.631,1.36885,0.87277,0.00746,0.88894,0.86122,0.94349,0.654,1.17459,0.56819,0.01137,0.000284479,0.000284479,0.000284479
87,435.185,1.34606,0.86366,0.00758,0.91591,0.89597,0.96061,0.64484,1.25734,0.53619,0.01222,0.000275781,0.000275781,0.000275781
88,439.709,1.31684,0.83877,0.00733,0.88658,0.89003,0.9424,0.62173,1.27811,0.59921,0.01223,0.000267155,0.000267155,0.000267155
89,444.216,1.34182,0.91587,0.00742,0.91821,0.86926,0.94623,0.63581,1.22915,0.53689,0.01214,0.000258607,0.000258607,0.000258607
90,448.765,1.36981,0.88265,0.00729,0.88395,0.91617,0.94928,0.62255,1.25506,0.53819,0.01211,0.00025014,0.00025014,0.00025014
91,453.439,1.34061,0.88704,0.00745,0.90013,0.91876,0.95353,0.627,1.25633,0.53485,0.01231,0.00024176,0.00024176,0.00024176
92,458.018,1.31575,0.85787,0.00727,0.8537,0.9351,0.95455,0.64171,1.21997,0.51925,0.01173,0.000233469,0.000233469,0.000233469
93,462.591,1.3519,0.87857,0.00693,0.87041,0.90295,0.95731,0.62886,1.27917,0.53166,0.01242,0.000225272,0.000225272,0.000225272
94,467.296,1.31139,0.83494,0.00743,0.89989,0.89693,0.95606,0.6335,1.24936,0.52878,0.01191,0.000217174,0.000217174,0.000217174
95,471.946,1.3771,0.91237,0.00712,0.89928,0.88338,0.94822,0.62868,1.23935,0.54741,0.01184,0.000209179,0.000209179,0.000209179
96,476.567,1.32435,0.85076,0.00711,0.90756,0.86923,0.94815,0.63573,1.21542,0.55584,0.01163,0.00020129,0.00020129,0.00020129
97,481.396,1.30048,0.82181,0.00709,0.90019,0.87052,0.9419,0.62914,1.23267,0.56801,0.01178,0.000193511,0.000193511,0.000193511
98,486.185,1.35691,0.89705,0.0072,0.8748,0.91557,0.93861,0.59247,1.32619,0.5969,0.01278,0.000185847,0.000185847,0.000185847
99,490.891,1.29648,0.82833,0.00723,0.89013,0.87073,0.94279,0.62107,1.241,0.55758,0.01199,0.000178301,0.000178301,0.000178301
100,495.566,1.31144,0.82979,0.0069,0.91498,0.8454,0.94195,0.63285,1.22506,0.55534,0.01189,0.000170877,0.000170877,0.000170877
101,502.51,1.28215,0.79049,0.00708,0.89772,0.85134,0.94137,0.6344,1.21223,0.55315,0.01156,0.000163578,0.000163578,0.000163578
102,507.099,1.30535,0.79286,0.0071,0.85143,0.8927,0.94127,0.63956,1.19546,0.55393,0.01138,0.00015641,0.00015641,0.00015641
103,511.774,1.29569,0.83301,0.00685,0.85945,0.92432,0.95108,0.64781,1.19746,0.52958,0.01136,0.000149374,0.000149374,0.000149374
104,516.373,1.30308,0.80374,0.00676,0.88168,0.87917,0.94746,0.63032,1.24615,0.5437,0.01187,0.000142475,0.000142475,0.000142475
105,520.889,1.27827,0.78995,0.00672,0.85782,0.92508,0.94816,0.64358,1.19101,0.53877,0.01125,0.000135716,0.000135716,0.000135716
106,525.422,1.30931,0.79449,0.00675,0.85704,0.94619,0.94565,0.63141,1.23813,0.54219,0.01169,0.0001291,0.0001291,0.0001291
