epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,355.866,1.23066,0.76838,1.18476,0.92639,0.93327,0.95214,0.66762,1.14691,0.60548,1.21828,0.000284479,0.000284479,0.000284479
87,359.578,1.21824,0.76224,1.17387,0.93551,0.90177,0.93307,0.62347,1.22632,0.64457,1.24066,0.000275781,0.000275781,0.000275781
88,363.365,1.19203,0.70814,1.1508,0.93005,0.89854,0.94784,0.64143,1.21409,0.64953,1.23201,0.000267155,0.000267155,0.000267155
89,367.075,1.23241,0.76552,1.17557,0.95717,0.88371,0.946,0.65679,1.16868,0.62337,1.20849,0.000258607,0.000258607,0.000258607
90,370.787,1.20948,0.74399,1.15728,0.93735,0.91009,0.94736,0.63941,1.19119,0.63233,1.2273,0.00025014,0.00025014,0.00025014
91,374.499,1.20238,0.7292,1.16318,0.94262,0.89912,0.94655,0.6351,1.19763,0.62243,1.23279,0.00024176,0.00024176,0.00024176
92,378.25,1.20281,0.73385,1.16678,0.94974,0.90693,0.9465,0.64682,1.14117,0.62127,1.20522,0.000233469,0.000233469,0.000233469
93,381.971,1.2083,0.73996,1.13936,0.94353,0.92012,0.94832,0.62523,1.21342,0.61068,1.22611,0.000225272,0.000225272,0.000225272
94,385.69,1.18634,0.74341,1.16589,0.94691,0.92523,0.95187,0.63002,1.23076,0.60916,1.24682,0.000217174,0.000217174,0.000217174
95,389.454,1.19439,0.76063,1.15109,0.93155,0.91591,0.94732,0.64312,1.17635,0.61806,1.21828,0.000209179,0.000209179,0.000209179
96,393.205,1.17844,0.72631,1.15002,0.94776,0.91944,0.95501,0.64525,1.19915,0.61379,1.21904,0.00020129,0.00020129,0.00020129
97,396.905,1.16711,0.70638,1.13371,0.93843,0.92696,0.9474,0.63403,1.21417,0.61325,1.22305,0.000193511,0.000193511,0.000193511
98,400.661,1.19221,0.76422,1.15393,0.91257,0.92871,0.94194,0.62366,1.22574,0.61412,1.2294,0.000185847,0.000185847,0.000185847
99,404.392,1.1575,0.7216,1.13515,0.91469,0.92699,0.94167,0.63521,1.18857,0.6075,1.2121,0.000178301,0.000178301,0.000178301
100,408.138,1.17588,0.70771,1.1382,0.93613,0.92992,0.94749,0.62335,1.19886,0.60112,1.21898,0.000170877,0.000170877,0.000170877
101,415.807,1.16438,0.69199,1.14257,0.94475,0.91601,0.94743,0.63492,1.17578,0.59493,1.20274,0.000163578,0.000163578,0.000163578
102,419.539,1.17108,0.70384,1.154,0.93159,0.90867,0.94584,0.64754,1.17412,0.62181,1.20258,0.00015641,0.00015641,0.00015641
103,423.233,1.164,0.70655,1.12432,0.93428,0.93693,0.95557,0.66056,1.15212,0.59315,1.19302,0.000149374,0.000149374,0.000149374
104,426.954,1.15009,0.7009,1.11055,0.93556,0.92571,0.9559,0.65855,1.1642,0.60549,1.20144,0.000142475,0.000142475,0.000142475
105,430.678,1.11475,0.67644,1.10856,0.92578,0.90826,0.94887,0.63533,1.191,0.61429,1.22281,0.000135716,0.000135716,0.000135716
106,434.417,1.15526,0.68717,1.12719,0.93297,0.90935,0.95297,0.64104,1.18797,0.59485,1.22849,0.0001291,0.0001291,0.0001291
